Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Keoz	"Nicolas ""Keoz"" Dgus (born December 29, 2000) is a Belgian professional Counter-Strike: Global Offensive player."	Nicolas Dgus		Belgium	December 29, 2000 (age 22)	Active	2017 – Present			Rifler	GamerLegion			$132,412	Global Offensive
KllyVe	"Kelly ""KllyVe"" Verhaegen (born September 30, 1993) is a Belgian professional Counter-Strike: Global Offensive player."	Kelly Verhaegen		Belgium	September 30, 1993 (age 30)	Active	2014 – Present			Rifler				$20,605	Global Offensive
kzealos	"Jarne ""kzealos"" Van Ransbeeck (born August 14, 2000) is a Belgian professional Counter-Strike: Global Offensive player."	Jarne Van Ransbeeck		Belgium	August 14, 2000 (age 23)	Active	2016 – Present			Rifler				$6,831	Global Offensive
Monu	"Fréderic ""Monu"" Dewever is a Belgian professional Counter-Strike: Global Offensive and former Counter-Strike player."	Fréderic Dewever		Belgium		Active	2009 – Present			Rifler			CaRpEt_RiGhT	$8,015	Global Offensive
Nexius	"Bram ""Nexius"" Campana (born December 19, 2003) is a Belgian professional Counter-Strike: Global Offensive player."	Bram Campana		Belgium	December 19, 2003 (age 19)	Active	2018 – Present			Rifler	MOUZ NXT			$11,888	Global Offensive
ritchiEE	"Richard ""ritchiEE"" Mestdagh (born August 28, 1998) is a Belgian professional Counter-Strike: Global Offensive player."	Richard Mestdagh		Belgium	August 28, 1998 (age 25)	Active	2018 – Present			Rifler				$19,446	Global Offensive
simix	"Robin ""simix"" Bynens (born July 14, 1995) is a Belgian professional Counter-Strike: Global Offensive player."	Robin Bynens		Belgium	July 14, 1995 (age 28)	Active	2017 – Present			Rifler				$17,307	Global Offensive
Stev0se	"Steven ""Stev0se"" Rombaut (born June 23, 1993) is a Belgian professional Counter-Strike: Global Offensive player."	Steven Rombaut		Belgium	June 23, 1993 (age 30)	Active	2016 – Present							$20,883	Global Offensive
yNc	"Yannick ""yNc"" Van Boven is an inactive Belgian professional Counter-Strike: Global Offensive player."	Yannick Van Boven		Belgium		Inactive	2016 – 2019			Rifler				$8,671	Global Offensive
brutmonster	"Adin ""brutmonster"" Husić (born August 20, 2001) is a Bosnian professional Counter-Strike: Global Offensive player."	Адин Хусић	Adin Husić	Bosnia and Herzegovina	August 20, 2001 (age 22)	Active	2020 – Present			AWPer	Zero Tenacity		BruT	$6,708	Global Offensive
huNter-	"Nemanja ""huNter-"" Kovač (born January 3, 1996) is a Bosnian-Serbian professional Counter-Strike: Global Offensive player for G2 Esports. He is Nikola ""NiKo"" Kovač's cousin."	Немања Ковач	Nemanja Kovač	Serbia	January  3, 1996 (age 27)	Active	2015 – Present			lurker	G2 Esports	NiKo's cousin	huNter, hNt	$699,183	Global Offensive
Katalic	"Dejan ""Katalic"" Koprivica (born March 25, 1997) is a Bosnian professional Counter-Strike: Global Offensive player. He is also Nikola ""NiKo"" Kovač and Nemanja ""huNter-"" Kovač's cousin."	Dejan Koprivica		Bosnia and Herzegovina	March 25, 1997 (age 26)	Active	2018 – Present							$3,104	Global Offensive
NiKo	"Nikola ""NiKo"" Kovač (formerly known as NiKolinho and nIKOLINHO) (born February 16, 1997) is a Bosnian Serb professional Counter-Strike: Global Offensive player for G2 Esports and a former semi-professional Counter-Strike player. He is Nemanja ""huNter-"" Kovač's cousin. NiKo is widely considered as one of the most mechanically gifted players in Global Offensive and has been in contention for the title of the best player in the world at multiple periods throughout his career."	Никола Ковач	Nikola Kovač	Bosnia and Herzegovina	February 16, 1997 (age 26)	Active	2009 – Present			entry fragger	G2 Esports		NiKolinho, nIKOLINHO, NiKOLINHO, nik0k0	$1,294,633	Global Offensive
sarenii	"Nemanja ""sarenii"" Šarenac (born August 5, 1998) is a Bosnian Serb professional Counter-Strike: Global Offensive player."	Heмања Шаренац	Nemanja Šarenac	Bosnia and Herzegovina	August  5, 1998 (age 25)	Inactive	2017 – 2023			entry fragger				$10,966	Global Offensive
simke	"Saša ""simke"" Simić (born June 11, 2004) is a Bosnian professional Counter-Strike: Global Offensive player."	Саша Симић	Saša Simić	Bosnia and Herzegovina	June 11, 2004 (age 19)	Active	2020 – Present			Rifler	Zero Tenacity			$6,766	Global Offensive
AwaykeN	"Slaven ""AwaykeN"" Lyubenov (born August 27, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Славен Любенов	Slaven Lyubenov	Bulgaria	August 27, 2003 (age 20)	Active	2020 – Present			AWPer	Raptors Esports Club			$4,764	Global Offensive
blocker	"Yanko ""blocker"" Panov (born April 17, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Янко Панов	Yanko Panov	Bulgaria	April 17, 1997 (age 26)	Active	2015 – 2021, 2022 – Present			entry fragger				$148,332	Global Offensive
bubble	"Kamen ""bubble"" Kostadinov (born August 7, 1991) is a Bulgarian professional Counter-Strike: Global Offensive and former professional Counter-Strike player."	Камен Костадинов	Kamen Kostadinov	Bulgaria	August  7, 1991 (age 32)	Active	2011 – Present						Johnny Cage	$281,570	Global Offensive
CeRq	"Tsvetelin ""CeRq"" Dimitrov (born December 7, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Цветелин Димитров	Tsvetelin Dimitrov	Bulgaria	December  7, 1999 (age 23)	Active	2016 – Present			AWPer				$406,495	Global Offensive
dennyslaw	"Denislav ""dennyslaw"" Dimitrov (born November 17, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Денислав Димитров Димитров	Denislav Dimitrov Dimitrov	Bulgaria	November 17, 1999 (age 23)	Active	2018 – Present			AWPer	500		denis2K	$112,930	Global Offensive
doublemagic	"Veselin ""doublemagic"" Angelov (born May 31, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Веселин Ангелов	Veselin Angelov	Bulgaria	May 31, 1997 (age 26)	Active	2016 – Present							$6,483	Global Offensive
dream3r	"Simeon ""dream3r"" Ganev (born January 28, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player. He was previously banned from Valve-sponsored events due to a VAC ban issued on October 25, 2014, but has been unbanned following Counter-Strike's ""New RMR Eligibility Guidelines"" blog post."	Симеон Ганев	Simeon Ganev	Bulgaria	January 28, 1997 (age 26)	VAC Banned	2013 – Present			Rifler				$90,793	Global Offensive
Duplicate	"Viktor ""Duplicate"" Mitev (born May 21, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Виктор Митев	Viktor Mitev	Bulgaria	May 21, 2001 (age 22)	Active	2018 – Present			Rifler				$53,655	Global Offensive
Grashog	"Denis ""Grashog"" Hristov (born June 27, 1999) is a Bulgarian-Polish professional Counter-Strike: Global Offensive coach and former player."	Денис Христов	Denis Hristov	Poland	June 27, 1999 (age 24)	Active	2018 – 2023	2023 – Present		Coach	500			$6,013	Global Offensive
h4rn	"Deyvid ""h4rn"" Benchev (born June 7, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Дейвид Бенчев	Deyvid Benchev	Bulgaria	June  7, 2000 (age 23)	Active	2019 – Present				Pompa Team			$62,886	Global Offensive
hybrid	"Mitko ""hybrid"" Kostov  is a Bulgarian professional Counter-Strike: Global Offensive player."	Митко Костов	Mitko Kostov	Bulgaria		Active	2019 – Present			Rifler	The Chosen Few		hybriD, hybriDd	$3,525	Global Offensive
KalubeR	"Kalin ""KalubeR"" Erenditsov (born November 15, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калин Калинов Ерендицов	Kalin Kalinov Erenditsov	Bulgaria	November 15, 2000 (age 22)	Active	2016 – Present			Rifler	500			$23,786	Global Offensive
Krs7N	"Kristiyan ""Krs7N"" Mladenov (born February 8, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Кристиян Младенов	Kristiyan Mladenov	Bulgaria	February  8, 2003 (age 20)	Active	2019 – Present			Rifler				$5,396	Global Offensive
mar	"Martin ""mar"" Kuyumdzhiev (born June 28, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Мартин Куюмджиев	Martin Kuyumdzhiev	Bulgaria	June 28, 1997 (age 26)	Active	2018 – Present			Rifler				$25,401	Global Offensive
milky	"Milen ""milky"" Iliev (born May 12, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Милен Илиев	Milen Iliev	Bulgaria	May 12, 2001 (age 22)	Active	2018 – Present			Rifler	Ambush			$3,276	Global Offensive
niki1	"Nikolay ""niki1"" Panteleev (born December 6, 1990) is a Bulgarian professional Counter-Strike: Global Offensive player."	Николай Пантелеев	Nikolay Panteleev	Bulgaria	December  6, 1990 (age 32)	Active	2015 – Present				500			$52,323	Global Offensive
numb	"Rumen ""numb"" Dimitrov (born February 12, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Румен Димитров	Rumen Dimitrov	Ukraine	February 12, 1997 (age 26)	Active	2015 – Present			Rifler			numbii	$12,024	Global Offensive
Oxygen	"Blagoy ""Oxygen"" Dimitrov (born May 15, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Благой Димитров	Blagoy Dimitrov	Bulgaria	May 15, 2003 (age 20)	Active	2019 – Present			Rifler	Entropiq		oxygeN	$41,221	Global Offensive
Patrick	"Ivan ""Patrick"" Ivanov (born October 15, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Иван Иванов	Ivan Ivanov	Bulgaria	October 15, 1998 (age 24)	Active	2015 – Present			Rifler	500			$38,254	Global Offensive
pNshr	"Nikolay ""pNshr"" Paunin (born December 17, 1991) is a Bulgarian professional Counter-Strike: Global Offensive coach, former player and former Counter-Strike player. In September 2020, pNshr received a 3.75-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at SKADE.  Additionally, pNshr received a one Major ban in January 2021 from Valve due to exploiting the coaching bug."	Николай Паунин	Nikolay Paunin	Bulgaria	December 17, 1991 (age 31)	Valve Banned	2010 – 2019	2019 – Present		Coach				$35,769	Global Offensive
poizon	"Valentin ""poizon"" Vasilev (born November 29, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Валентин Василев	Valentin Vasilev	Bulgaria	November 29, 1998 (age 24)	Active	2015 – Present			AWPer			poiz0n, poiz, poizy	$302,645	Global Offensive
POP0V	"Kaloyan ""POP0V"" Popov (born December 10, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калоян Попов	Kaloyan Popov	Bulgaria	December 10, 1997 (age 25)	Active	2018 – Present			In-game leader	RGW esports			$3,924	Global Offensive
rafftu	"Kostadin ""rafftu"" Turbinov (born October 23, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Костадин Турбинов	Kostadin Turbinov	Bulgaria	October 23, 1999 (age 23)	Active	2018 – Present			Rifler				$17,281	Global Offensive
Rainwaker	"Aleks ""Rainwaker"" Petrov (born April 27, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Алекс Огнянов Петров	Aleks Ognyanov Petrov	Bulgaria	April 27, 2001 (age 22)	Active	2017 – Present				Team Liquid			$121,889	Global Offensive
REDSTAR	"Hristiyan ""REDSTAR"" Pironkov (born August 15, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Християн Пиронков	Hristiyan Pironkov	Bulgaria	August 15, 2001 (age 22)	Active	2017 – Present			AWPer	500		REDS7AR	$115,700	Global Offensive
Rock1nG	"Ivan ""Rock1nG"" Stratiev (born August 19, 1996) is a Bulgarian professional Counter-Strike: Global Offensive coach and former player."	Иван Стратиев	Ivan Stratiev	Bulgaria	August 19, 1996 (age 27)	Active	2015 – 2022, 2023 – Present	2023						$26,480	Global Offensive
shaiK	"Kaloyan ""shaiK"" Borisov (born September 29, 2002) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калоян Борисов	Kaloyan Borisov	Bulgaria	September 29, 2002 (age 21)	Active	2018 – Present				The Chosen Few			$5,597	Global Offensive
SHiPZ	"Georgi ""SHiPZ"" Grigorov (born August 16, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Георги Григоров	Georgi Grigorov	Bulgaria	August 16, 2000 (age 23)	Active	2016 – Present			Rifler	500		shpzTANK, SHiPZ1017	$292,903	Global Offensive
SPELLAN	"Teodor ""SPELLAN"" Nikolov (born November 13, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Теодор Ивайлов Николов	Teodor Ivaylov Nikolov	Bulgaria	November 13, 1997 (age 25)	Active	2016 – Present				The Chosen Few			$69,528	Global Offensive
spyleadeR	"Emiliyan ""spyleadeR"" Dimitrov (born October 26, 1989) is a Bulgarian professional Counter-Strike: Global Offensive player and coach and former professional Counter-Strike player."	Емилиян Димитров	Emiliyan Dimitrov	Bulgaria	October 26, 1989 (age 33)	Active	2012 – 2022	2019 – 2020, 2023 – Present						$37,357	Global Offensive
ToH1o	"Anton ""ToH1o"" Georgiev (born June 30, 1989) is a Bulgarian professional Counter-Strike: Global Offensive coach. In September 2020, ToH1o received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at ex-Outlaws and Windigo Gaming.  Additionally, ToH1o received a five Major ban in January 2021 from Valve due to exploiting the coaching bug.  On June 15, 2021, it was announced that his ESIC ban had been fully overturned by the ESIC appeals board.  Additionally, on March 1, 2023, ToH1o's five Major ban was commuted, allowing him to participate in Valve-sponsored events again."	Антон Георгиев	Anton Georgiev	Bulgaria	June 30, 1989 (age 34)	Active		2017 – Present		Coach	NIP Impact				Global Offensive
v1c7oR	"Viktor ""v1c7oR"" Dyankov (born July 28, 1994) is a Bulgarian professional Counter-Strike: Global Offensive player."	Виктор Дянков	Viktor Dyankov	Bulgaria	July 28, 1994 (age 29)	Active	2012 – Present			entry fragger				$220,582	Global Offensive
viltrex	"Valentin ""viltrex"" Tsvetanov (born April 19, 2002) is an Bulgarian professional Counter-Strike: Global Offensive player."	Valentin Tsvetanov		Bulgaria	April 19, 2002 (age 21)	Active	2018 – Present			Rifler				$3,424	Global Offensive
Zix	"Krasen ""Zix"" Minchev (born September 24, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Красен Минчев	Krasen Minchev	Bulgaria	September 24, 1998 (age 25)	Active	2016 – Present			Rifler				$14,084	Global Offensive
DEPRESHN	"Filip ""DEPRESHN"" Jarkić (born May 10, 2003) is a Croatian-Bosnian professional Counter-Strike: Global Offensive player."	Filip Jarkić		Bosnia and Herzegovina	May 10, 2003 (age 20)	Active	2019 – Present			AWPer	AGO esports		DEPRESHNN	$25,102	Global Offensive
Maki	"Marko ""Maki"" Mijatović (born May 14, 2000) is a Croatian professional Counter-Strike: Global Offensive player."	Marko Mijatović		Croatia	May 14, 2000 (age 23)	Active	2017 – Present			Rifler			MakiLUL	$10,339	Global Offensive
Šego	"Gabrijel ""Šego"" Šego (born June 30, 2000) is a Croatian professional Counter-Strike: Global Offensive player."	Gabrijel Šego		Croatia	June 30, 2000 (age 23)	Active	2017 – Present			Rifler			Sego	$7,016	Global Offensive
AJTT	"Filip ""AJTT"" Dolenský (born June 19, 2001) is a Czech professional Counter-Strike: Global Offensive player."	Filip Dolenský		Czechia	June 19, 2001 (age 22)	Active	2016 – Present			lurker	Sprout Academy			$12,168	Global Offensive
beastik	"Sebastian ""beastik"" Daňo (born January 5, 1998) is a Czech professional Counter-Strike: Global Offensive player who currently plays for SINNERS Esports as the in-game leader."	Sebastian Daňo		Czechia	January  5, 1998 (age 25)	Active	2014 – Present				SINNERS Esports		beastik1, bastik	$77,690	Global Offensive
beryP	"Martin ""beryP"" Beránek (known as bery prior to 2021) (born October 16, 2002) is a Czech professional Counter-Strike: Global Offensive player."	Martin Beránek		Czechia	October 16, 2002 (age 20)	Active	2019 – Present			AWPer			bery, BeRy	$4,923	Global Offensive
bfull	"Jakub ""bfull"" Kokoška is a Czech professional Counter-Strike: Global Offensive coach."	Jakub Kokoška		Czechia	March 11, 1992 (age 31)	Active		2020 – Present		Coach	Team Sampi				Global Offensive
blogg1s	"Dominik ""blogg1s"" Janita (born May 11, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Dominik Janita		Czechia	May 11, 1999 (age 24)	Active	2016 – Present			AWPer	Wings Up Gaming			$23,292	Global Offensive
capseN	"Lukáš ""capseN"" Koláčný (born April 17, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Lukáš Koláčný		Czechia	April 17, 1999 (age 24)	Active	2017 – Present			AWPer	ENTERPRISE esports			$33,550	Global Offensive
Darber	"Filip ""Darber"" Böhm (born July 27, 2004) is a Czech professional Counter-Strike: Global Offensive player."	Filip Böhm		Czechia	July 27, 2004 (age 19)	Active	2021 – Present			Rifler			Darberrrr	$2,905	Global Offensive
daxen	"Zdeněk ""daxen"" Dušek (born June 17, 1997) is a Czech professional Counter-Strike: Global Offensive player. He retired from competitive play on May 18, 2021 before returning two months later on July 19, 2021."	Zdeněk Dušek		Czechia	June 17, 1997 (age 26)	Active	2016 – Present			Rifler			DAKSEN	$3,672	Global Offensive
desty	"Dominik ""desty"" Černý (born September 23, 1997) is a Czech professional Counter-Strike: Global Offensive coach and former player."	Dominik Černý		Czechia	September 23, 1997 (age 26)	Active	2017 – 2022	2022 – Present		Coach	UNiTY esports		DESTY	$4,306	Global Offensive
Dytor	"Martin ""Dytor"" Handl (born January 24, 2003) is a Czech professional Counter-Strike: Global Offensive player."	Martin Handl		Czechia	January 24, 2003 (age 20)	Active	2019 – Present			Rifler	Dynamo Eclot			$35,636	Global Offensive
EYO	"Ondřej ""EYO"" Šťastný is a Czech professional Counter-Strike: Global Offensive player."	Ondřej Šťastný		Czechia		Active	2015 – Present			Rifler			onlinEYO	$9,952	Global Offensive
forsyy	"David ""forsyy"" Bílý (born November 12, 2001) is a Czech professional Counter-Strike: Global Offensive player."	David Bílý		Czechia	November 12, 2001 (age 21)	Active	2018 – Present			AWPer	Entropiq		FORSYY, FORSYY32	$31,076	Global Offensive
Fraged	"Dominik ""Fraged"" Herz is a Czech professional Counter-Strike: Global Offensive player."	Dominik Herz		Czechia		Active	2016 – Present			AWPer			Fraged2k, yellowflash	$4,557	Global Offensive
fredi	"Karel ""fredi"" Královec (born November 9, 1992) is a Czech professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Karel Královec		Czechia	November  9, 1992 (age 30)	Active	2011 – Present							$12,736	Global Offensive
HONES	"Jan ""HONES"" Urválek (formerly known as hones) (born September 24, 2000) is a Czech professional Counter-Strike: Global Offensive player."	Jan Urválek		Czechia	September 24, 2000 (age 23)	Active	2017 – Present			entry fragger			hones	$7,356	Global Offensive
K1-FiDa	"Filip ""K1-FiDa"" Dvořák (born April 21, 1996) is a Czech professional Counter-Strike: Global Offensive player and former coach."	Filip Dvořák		Czechia	April 21, 1996 (age 27)	Active	2017 – Present	2021			Dynamo Eclot		GAZOVITCH	$35,120	Global Offensive
kinzo	"Marek ""kinzo"" Bílek (born July 7, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Marek Bílek		Czechia	July  7, 1999 (age 24)	Active	2018 – Present			In-game leader				$5,930	Global Offensive
KWERTZZ	"Simon ""KWERTZZ"" Horák (born October 31, 2001) is a Czech professional Counter-Strike: Global Offensive player."	Simon Horák		Czechia	October 31, 2001 (age 21)	Active	2019 – Present			Rifler	SINNERS Esports		kwertzz	$11,637	Global Offensive
leckr	"Michal ""leckr"" Kadlíček (born December 31, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Michal Kadlíček		Czechia	December 31, 1999 (age 23)	Active	2016 – Present			In-game leader	ENTERPRISE esports			$12,201	Global Offensive
Levi	"Lukáš ""Levi"" Bouřa (born March 27, 2000) is a Czech professional Counter-Strike: Global Offensive player."	Lukáš Bouřa		Czechia	March 27, 2000 (age 23)	Active	2017 – Present			Rifler	UNiTY esports		Panda, LeviRen	$16,269	Global Offensive
manguss	"Robert ""manguss"" Kasper (born April 25, 2001) is a Czech professional Counter-Strike: Global Offensive player."	Robert Kasper		Czechia	April 25, 2001 (age 22)	Active	2017 – Present			lurker	ENTERPRISE esports			$22,911	Global Offensive
MoriiSko	"Josef ""MoriiSko"" Maurenc (born May 15, 2001) is a Czech professional Counter-Strike: Global Offensive player. He fulfilled the role of an AWPer for eight months from September 2021 to April 2022 during his time with Entropiq Prague."	Josef Maurenc		Czechia	May 15, 2001 (age 22)	Active	2020 – Present				ENTERPRISE esports			$7,079	Global Offensive
nbqq	"Vít ""nbqq"" Pohlot (known as noobiq prior to 2021) (born April 11, 1997) is a Czech professional Counter-Strike: Global Offensive player."	Vít Pohlot		Czechia	April 11, 1997 (age 26)	Active	2018 – Present			entry fragger	Dynamo Eclot		noobiq, nbq	$34,959	Global Offensive
NEOFRAG	"Adam ""NEOFRAG"" Zouhar (born May 19, 2001) is a Czech professional Counter-Strike: Global Offensive player."	Adam Zouhar		Czechia	May 19, 2001 (age 22)	Active	2017 – Present			entry fragger	Dynamo Eclot		neofrag	$118,916	Global Offensive
oskar	"Tomáš ""oskar"" Šťastný (born June 27, 1991) is a Czech professional Counter-Strike: Global Offensive and former Counter-Strike player."	Tomáš Šťastný		Czechia	June 27, 1991 (age 32)	Active	2006 – 2009, 2009 – 2011, 2012 – Present			AWPer	SINNERS Esports		oskar!	$394,442	Global Offensive
Pechyn	"Martin ""Pechyn"" Pechoušek (born April 15, 1998) is a Czech professional Counter-Strike: Global Offensive player."	Martin Pechoušek		Czechia	April 15, 1998 (age 25)	Active	2016 – Present			Rifler	UNiTY esports			$20,017	Global Offensive
replay	"Pavel ""replay"" Vaněk (born July 19, 2001) is a Czech professional Counter-Strike: Global Offensive coach and former player."	Pavel Vaněk		Czechia	July 19, 2001 (age 22)	Active	2020 – 2022	2022 – Present		Coach	Dynamo Eclot		RePlay	$565	Global Offensive
SHOCK	"Max ""SHOCK"" Kvapil (born October 29, 2000) is a Czech professional Counter-Strike: Global Offensive player for SINNERS Esports."	Max Kvapil		Czechia	October 29, 2000 (age 22)	Active	2016 – Present			Rifler	SINNERS Esports		shock	$71,827	Global Offensive
stinx	"Matěj ""stinx"" Štorek (born July 2, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Matěj Štorek		Czechia	July  2, 1999 (age 24)	Active	2018 – Present			Rifler				$4,612	Global Offensive
syncD	"David ""syncD"" Slováček (born July 5, 2001) is a Czech professional Counter-Strike: Global Offensive player who currently lives in Germany."	David Slováček		Germany	July  5, 2001 (age 22)	Active	2017 – Present			Rifler	RED			$7,792	Global Offensive
tomkeejs	"Tomáš ""tomkeejs"" Tomka (born April 18, 1998) is a Czech professional Counter-Strike: Global Offensive coach for SINNERS Esports and former player. He is most known for his time in Dark Tigers as an in-game leader. He retired on June 1, 2020 to pursue a career in VALORANT,  but returned a year later as a coach for SINNERS."	Tomáš Tomka		Czechia	April 18, 1998 (age 25)	Active	2015 – 2020	2021 – Present		Coach	SINNERS Esports		Tomkeejs	$15,370	Global Offensive
Tusi	"Luboš ""Tusi"" Tusjak (born November 26, 2002) is a Czech professional Counter-Strike: Global Offensive player."	Luboš Tusjak		Czechia	November 26, 2002 (age 20)	Active	2017 – Present			Rifler	eSuba		tusi	$8,550	Global Offensive
twist	"Matěj ""twist"" Petráš (born June 5, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Matěj Petráš		Czechia	June  5, 1999 (age 24)	Active	2016 – Present			Rifler				$10,724	Global Offensive
Valencio	"Vojtěch ""Valencio"" Mydlář (born August 4, 1999) is a Czech professional Counter-Strike: Global Offensive player."	Vojtěch Mydlář		Czechia	August  4, 1999 (age 24)	Active	2016 – Present			Rifler	Dynamo Eclot			$32,860	Global Offensive
