Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Егор Сергеевич Васильев	Egor Sergeyevich Vasilyev	Russia	April  5, 1997 (age 26)	Active	2012 – Present			Rifler	CYBERSHOKE Esports		flame, flamienator	$1,046,117	Global Offensive
Владислав Быков	Vladislav Bykov	Russia	October 25, 1995 (age 27)	Active	2015 – 2020	2020 – Present		Coach	CYBERSHOKE Esports			$4,687	Global Offensive
Алексей Злобич	Aleksey Zlobich	Russia		Active	2003 – 2011, 2013	2020 – Present		Coach				$22,290	Global Offensive
Vasiliy Osinov		Russia	August  8, 2003 (age 20)	Active	2020 – Present			Rifler			flowean	$9,598	Global Offensive
Игорь Безотеческий	Igor Bezotecheskiy	Russia	January  3, 2000 (age 23)	Active	2015 – Present			Rifler	1win			$170,829	Global Offensive
Тимофей Комков	Timofey Komkov	Russia	June 24, 2002 (age 21)	Active	2019 – Present			Rifler	Team Space			$11,504	Global Offensive
Дмитрий Софронов	Dmitriy Sofronov	Russia	March 16, 1998 (age 25)	Active	2019 – Present			AWPer	Insilio		FpSSSSSSS	$13,226	Global Offensive
Александр Мациевич	Aleksandr Matsiyevich	Russia	December  6, 1993 (age 29)	Active	2018 – Present				9Pandas		glowing	$38,502	Global Offensive
Эрхан Багынанов	Erkhan Bagynanov	Russia	August 14, 2000 (age 23)	Active	2021 – Present			AWPer	HOTU			$9,856	Global Offensive
Кирилл Госпадаров	Kirill Gospadarov	Russia	December  7, 2000 (age 22)	Active	2018 – Present			AWPer	ex-YNT			$11,253	Global Offensive
Игорь Шебзухов	Igor Shebzukhov	Russia	September 14, 2001 (age 22)	Active	2018 – Present			Rifler				$10,655	Global Offensive
Константин Пикинер	Konstantin Pikiner	Russia	March  2, 1983 (age 40)	Active	2003 – 2009	2006 – 2013, 2020 – Present		Coach	Cloud9		pikiner	$21,589	Global Offensive
Владислав Тучин	Vladislav Tuchin	Russia	May 31, 2005 (age 18)	Active	2022 – Present			Rifler				$7,020	Global Offensive
Сергей Шаваев	Sergey Shavayev	Russia	July  6, 1993 (age 30)	Active	2007 – 2012	2019 – Present			Team Spirit			$4,841	Global Offensive
Дмитрий Богданов	Dmitriy Bogdanov	Russia	March 13, 1987 (age 36)	Active	2002 – 2019	2020 – Present			1win		hoochR, hoochRRR	$132,617	Global Offensive
Павел Лашков	Pavel Lashkov	Russia	September 13, 1995 (age 28)	Active	2015 – Present			Rifler				$66,015	Global Offensive
Артём Егоров	Artyom Egorov	Russia	December 17, 1996 (age 26)	Active	2017 – Present				9Pandas			$72,001	Global Offensive
Вячеслав Бритвин	Viacheslav Britvin	Russia	November 26, 1993 (age 29)	Active		2023 – Present	2019 – 2023	Coach	BetBoom Team				Global Offensive
Тимофей Сергеевич Якушин	Timofey Sergeyevich Yakushin	Russia	August  4, 2000 (age 23)	Active	2017 – Present			support	TSM		1nterz	$519,305	Global Offensive
Ярослав Сергеевич Ушков	Yaroslav Sеrgeyevich Ushkov	Russia	March 10, 1996 (age 27)	Active	2014 – Present			In-game leader				$6,474	Global Offensive
Владимир Юрьевич Дьяконов	Vladimir Yuryevich Dyakonov	Russia	June 24, 1999 (age 24)	Active	2017 – Present			In-game leader				$4,733	Global Offensive
Джами Али	Dzhami Ali	Russia	August 23, 1998 (age 25)	Active	2017 – Present				Virtus.pro			$608,714	Global Offensive
Андрей Мехряков	Andrey Mekhryakov	Russia	May 24, 1998 (age 25)	Active	2016 – Present				PARIVISION			$240,512	Global Offensive
Никита Андреевич Панюшкин	Nikita Andreyevich Panyushkin	Russia	October 27, 1998 (age 24)	Active	2017 – Present			Rifler				$7,829	Global Offensive
Савелий Брагин	Saveliy Bragin	Russia	April 17, 1997 (age 26)	Active	2014 – Present						jMqA, JMQA, JMQA6479	$40,535	Global Offensive
Aleksandr Anashkin		Russia	January 31, 2004 (age 19)	Active	2020 – Present			Rifler	BetBoom Team		KaiR0N	$32,701	Global Offensive
Александр Гуркин	Aleksandr Gurkin	Russia	November 13, 2001 (age 21)	Active	2019 – Present			entry fragger	Aurora Gaming		KENSi	$101,940	Global Offensive
Егор Сторожок	Egor Storozhok	Russia	April  5, 2001 (age 22)	Active	2019 – Present			AWPer				$5,341	Global Offensive
Семён Лисицын	Semyon Lisitsyn	Russia	November  7, 1991 (age 31)	Active	2008 – Present			Rifler	MOON		knq	$34,067	Global Offensive
Антон Платко	Anton Platko	Russia	November 26, 1996 (age 26)	Active	2013 – Present							$6,016	Global Offensive
Анастасия Хлобыстина	Anastasiya Khlobystina	Russia	October  8, 2001 (age 22)	Active	2018 – 2021, 2023 – Present			Rifler	G2 Oya		kr4sy	$19,259	Global Offensive
Владислав Кравченко	Vladislav Kravchenko	Russia	January  9, 1999 (age 24)	Active	2016 – Present			lurker	FORZE Esports			$173,429	Global Offensive
Пётр Степанов	Pyotr Stepanov	Russia	January 24, 1992 (age 31)	Inactive	2014 – 2019			Rifler				$2,781	Global Offensive
Ксения Волкова	Ksenia Volkova	Russia	April 21, 1996 (age 27)	Active	2017 – 2021, 2022 – Present			Rifler	9Pandas Fearless		ksu, KSUSHA	$27,578	Global Offensive
Александр Владимирович Новый	Aleksandr Vladimirovich Novyy	Russia	July 21, 1997 (age 26)	Active	2013 – Present			Rifler				$7,825	Global Offensive
Владислав Выдрин	Vladislav Vydrin	Russia	July 26, 2005 (age 18)	Active	2020 – Present			AWPer	Aurora Gaming		latt1kk	$30,968	Global Offensive
Альберт Исламов	Albert Islamov	Russia	September 30, 1991 (age 32)	Active	2015 – 2019	2020 – 2021, 2023 – Present						$9,091	Global Offensive
Дмитрий Медведев	Dmitriy Medvedev	Russia	April 17, 1997 (age 26)	Active	2018 – Present			Rifler	LF0			$6,659	Global Offensive
Анатолий Яшин	Anatoliy Yashin	Russia	September 15, 1988 (age 35)	Active	2004 – 2018	2019 – Present						$28,069	Global Offensive
Иван Овсяник	Ivan Ovsyanik	Russia	January 20, 2003 (age 20)	Active	2021 – Present							$4,153	Global Offensive
Илья Осипов	Ilya Osipov	Russia	May  1, 2005 (age 18)	Active	2019 – Present			AWPer	G2 Esports	The Flash	m0	$401,522	Global Offensive
Борис Воробьев	Boris Vorobyev	Russia	June  3, 2003 (age 20)	Active	2018 – Present			lurker	Team Spirit			$223,137	Global Offensive
Кирилл Роднов	Kirill Rodnov	Russia	October 14, 2004 (age 18)	Active	2021 – Present			Rifler	K23			$13,924	Global Offensive
Дмитрий Кондратьев	Dmitry Kondratev	Russia	January 23, 2004 (age 19)	Active	2020 – Present			Rifler	HOTU			$10,620	Global Offensive
Вадим Зимин	Vadim Zimin	Russia	June 20, 1987 (age 36)	Active	2007 – 2016	2018 – Present		Coach			micE, mice, missE	$2,610	Global Offensive
Давид Даниелян	David Daniyelyan	Russia	March 11, 2001 (age 22)	Active	2017 – Present			Rifler	Virtus.pro			$225,758	Global Offensive
Владислав Горшков	Vladislav Gorshkov	Russia	June 15, 2001 (age 22)	Active	2017 – Present				BetBoom Team			$614,249	Global Offensive
Анастасия Евдокина	Anastasiya Evdokina	Russia	November 26, 1992 (age 30)	Active	2014 – Present			Rifler				$23,121	Global Offensive
Aleksey Voronov		Russia	November 11, 1995 (age 27)	Active		2020 – Present	2019 – 2020		Team Spirit Female			$40	Global Offensive
Алексей Трофимов	Aleksey Trofimov	Russia	July 17, 1997 (age 26)	Active	2016 – Present				1win		NickelBack77	$171,452	Global Offensive
Никита Прохоров	Nikita Prokhorov	Russia	July 17, 2001 (age 22)	Active	2019 – Present			Rifler	HOTU			$7,054	Global Offensive
Евгений Ермолин	Evgeniy Ermolin	Russia	March 20, 2001 (age 22)	Active	2019 – Present			Rifler	Aurora Gaming			$63,781	Global Offensive
Андрей Радкин	Andrey Radkin	Russia	July 11, 1992 (age 31)	Inactive	2014 – 2019			Rifler				$187	Global Offensive
Алексей Бирюков	Aleksey Biryukov	Russia	January 26, 1986 (age 37)	Active	2001 – Present	2017 – Present		Coach				$14,831	Global Offensive
Павел Легостаев	Pavel Legostaev	Russia	May 21, 1994 (age 29)	Active	2016 – 2022	2022 – 2023	2023 – Present	Analyst	Virtus.pro			$24,103	Global Offensive
Роберт Исянов	Robert Isyanov	Russia	September  6, 2003 (age 20)	Active	2016 – Present			Rifler	Team Liquid		Patsanchick	$105,295	Global Offensive
Кирилл Бобрик	Kirill Bobrik	Russia		Active	2005 – 2011	2020 – Present		Coach				$9,921	Global Offensive
Вадим Циров	Vadim Tsirov	Russia	June 19, 1994 (age 29)	Active	2018 – Present			Rifler	Insilio			$30,151	Global Offensive
Daniil Poryadin		Russia	June 15, 2001 (age 22)	Active	2018 – Present			Rifler				$18,905	Global Offensive
Дмитрий Мартынов	Dmitriy Martynov	Russia	October 27, 1998 (age 24)	Active	2018 – Present			Rifler	Forward Gaming			$13,706	Global Offensive
Евгений Алексеевич Фролов	Evgeniy Alekseevich Frolov	Russia	February 14, 2005 (age 18)	Active	2020 – Present			Rifler	FORZE Esports			$59,515	Global Offensive
Константин Трубаров	Konstantin Trubarov	Russia	January  7, 2001 (age 22)	Active	2020 – Present				PARIVISION		RaijinFU	$16,429	Global Offensive
Артём Градович	Artyom Gradovich	Russia	November  9, 1995 (age 27)	Active	2017 – Present							$22,213	Global Offensive
Данил Бикваидзе	Danil Bikvaidze	Russia	January  8, 2003 (age 20)	Active	2020 – Present			Rifler				$13,577	Global Offensive
Данила Демидов	Danila Demidov	Russia	July 16, 1999 (age 24)	Active	2016 – Present			entry fragger			redhid3	$3,339	Global Offensive
Александра Ксензик	Aleksandra Ksenzik	Russia	February  3, 1993 (age 30)	Active	2012 – Present						Rileyzor	$8,635	Global Offensive
Максим Чуриков	Maksim Churikov	Russia	September 10, 2002 (age 21)	Active	2020 – Present			Rifler	CYBERSHOKE Esports		riskyboy	$5,436	Global Offensive
Роман Голубев	Roman Golubev	Russia	April  8, 1993 (age 30)	Active	2010 – Present			lurker				$9,253	Global Offensive
Алексей Бураков	Aleksey Burakov	Russia	July 18, 1995 (age 28)	Active	2015 – Present			In-game leader	AsianBALLS			$4,776	Global Offensive
Дмитрий Форостянко	Dmitriy Forostyanko	Russia	September 29, 1994 (age 29)	Active	2015 – 2021, 2021 – Present	2021 – Present			Team Spirit Academy		SqtF1kk	$70,506	Global Offensive
Павел Оглоблин	Pavel Ogloblin	Russia	July 16, 2002 (age 21)	Active	2018 – Present			Rifler	BetBoom Team			$65,839	Global Offensive
Николай Жуков	Nikolay Zhukov	Russia	November  7, 1999 (age 23)	Active	2020 – Present			Rifler				$3,430	Global Offensive
Денис Валерьевич Костин	Denis Valeryevich Kostin	Russia	September  9, 1994 (age 29)	Active	2009 – Present				9Pandas		seizedwf	$356,993	Global Offensive
Иван Мирошников	Ivan Miroshnikov	Russia	February  4, 2003 (age 20)	Active	2018 – Present			Rifler	Aurora Gaming			$34,520	Global Offensive
Максим Виноградов	Maksim Vinogradov	Russia	September  5, 2005 (age 18)	Active	2020 – Present			Rifler	CYBERSHOKE Esports		sh1ne, Sh1ne	$5,470	Global Offensive
Дмитрий Эдуардович Соколов	Dmitriy Eduardovich Sokolov	Russia	July 15, 2001 (age 22)	Active	2018 – Present			AWPer	Cloud9		SH1R0, SHIRO, SH1RO, sh1ro1769	$632,931	Global Offensive
Александр Маренов	Aleksandr Marenov	Russia	June  8, 2002 (age 21)	Active	2018 – Present			In-game leader	FORZE Esports			$100,879	Global Offensive
Татьяна Грачёва	Tatyana Gracheva	Russia	January 16, 1997 (age 26)	Active	2012 – Present							$2,118	Global Offensive
Артём Смолий	Artyom Smoliy	Russia	February 26, 1998 (age 25)	Active	2017 – Present			AWPer			hiji	$7,968	Global Offensive
Глеб Горелов	Gleb Gorelov	Russia	December 29, 1999 (age 23)	Active	2017 – Present			Rifler	LF0			$9,103	Global Offensive
Иван Обрежан	Ivan Obrezhan	Russia	May 28, 1997 (age 26)	Active	2012 – Present							$19,316	Global Offensive
Антон Титов	Anton Titov	Russia	June  4, 1996 (age 27)	Active	2018 – Present							$37,532	Global Offensive
Александр Иванов	Alexander Ivanov	Russia	June  4, 1994 (age 29)	Active	2013 – 2017, 2018 – Present							$15,085	Global Offensive
Дмитрий Хлебников	Dmitry Khlebnikov	Russia	November  1, 2004 (age 18)	Active	2020 – Present			Rifler	FORZE Esports			$12,609	Global Offensive
Святослав Довбах	Svyatoslav Dovbakh	Ukraine	November  7, 1994 (age 28)	Active	2015 – Present							$30,978	Global Offensive
Ньургун Аввакумов	Nurgun Avvakumov	Russia	September 29, 1993 (age 30)	Active	2020 – Present			In-game leader	HOTU		ss	$10,064	Global Offensive
Татьяна Воронцова	Tatyana Vorontsova	Russia	August 18, 1994 (age 29)	Active	2015 – Present			Rifler	9Pandas Fearless			$21,803	Global Offensive
Антон Колесников	Anton Kolesnikov	Russia	November 26, 1992 (age 30)	Active	2010 – 2021	2022 – Present		Coach	9Pandas Fearless		kibaken, kiba	$35,833	Global Offensive
Виктория Казиева	Viktoria Kazieva	Russia	June  5, 1998 (age 25)	Active	2017 – Present			Rifler	Nigma Galaxy Female			$63,883	Global Offensive
Илья Глоба	Ilya Globa	Russia	March 26, 1998 (age 25)	VAC Banned	2014 – Present			Rifler			RhYthm, trevl, tr9vl, Rhythm	$3,234	Global Offensive
Александр Тимкив	Aleksandr Timkiv	Russia	December  3, 1997 (age 25)	Active	2017 – Present			Rifler	1win			$91,484	Global Offensive
Михаил Крутов	Mikhail Krutov	Russia	November 21, 1998 (age 24)	Active	2017 – Present						trickyy	$7,268	Global Offensive
Данила Полумордвинов	Danila Polumordvinov	Russia	March 23, 2004 (age 19)	Active	2020 – Present			Rifler	Team Space			$10,275	Global Offensive
Рустам Цаголов	Rustam Tsagolov	Russia	January 10, 1991 (age 32)	Active		2017 – Present	2016		Forward Gaming				Global Offensive
Александра Тимонина	Alexandra Timonina	Russia	May 31, 2001 (age 22)	Active	2019 – Present			Rifler	Nigma Galaxy Female		tweNty	$63,748	Global Offensive
Никита Булыгин	Nikita Bulygin	Russia	September  4, 1998 (age 25)	Active	2017 – Present				GHR E-Sports			$12,059	Global Offensive
Вадим Панчук	Vadim Panchuk	Russia	June  2, 1994 (age 29)	Active	2013 – 2021, 2022	2021 – Present					VAD1M	$7,599	Global Offensive
Георгий Кинзягулов	Georgiy Kinzyagulov	Russia	December  4, 1999 (age 23)	Active	2019 – Present			Rifler	Team Space		deus666	$8,541	Global Offensive
Виктория Укасова	Victoria Ukasova	Russia	December 21, 1993 (age 29)	Active	2017 – 2021, 2022 – Present				9Pandas Fearless		Victoria	$14,767	Global Offensive
Ксения Клюенкова	Ksenia Klyuenkova	Russia	August  3, 1991 (age 32)	Active	2008 – Present			entry fragger	Nigma Galaxy Female			$112,849	Global Offensive
Владимир Шмаков	Vladimir Shmakov	Russia		Active	2006 – 2017, 2019 – Present			Rifler				$1,470	Global Offensive
Никита Матвеев	Nikita Matveyev	Russia	June 18, 1995 (age 28)	Active	2014 – 2022	2023 – Present		Coach	Team Space		waterfallZTW, waterfall	$32,840	Global Offensive
Георгий Яскин	Georgiy Yaskin	Russia	October 16, 1991 (age 31)	Active	2010 – 2020, 2022 – Present							$120,769	Global Offensive
Даниил Марышев	Daniil Maryshev	Russia	June 18, 2003 (age 20)	Active	2018 – Present			Rifler	PARIVISION			$42,812	Global Offensive
Андрей Мироненко	Andrey Mironenko	Russia	June 28, 1991 (age 32)	Active	2004 – 2017	2017 – 2019, 2020 – Present		Assistant Coach	9Pandas			$13,257	Global Offensive
Богдан Черников	Bogdan Chernikov	Russia	February 26, 1998 (age 25)	Active	2016 – Present				PARIVISION			$128,481	Global Offensive
Вадим Торопынин	Vadim Toropynin	Russia	August 19, 2004 (age 19)	Active	2020 – Present							$5,015	Global Offensive
Александр Анатольевич Богатырев	Aleksandr Anatolyevich Bogatyrev	Russia	August  4, 1987 (age 36)	Valve Banned	2014 – 2018	2018 – Present		Coach	forZe School		MechanoGun	$1,254	Global Offensive
Александр Загодыренко	Aleksandr Zagodyrenko	Russia	May 28, 1998 (age 25)	Active	2017 – Present			AWPer	BetBoom Team			$131,051	Global Offensive
Стефан Айлазян	Stefan Ajlazjan	Ukraine	February 27, 1999 (age 24)	Active	2016 – Present				S-Gaming		Chevrolet_Impala, -2S1-	$5,271	Global Offensive
Євгеній Вячеславович Моцевий	Jevghenij Vjacheslavovych Mocevyj	Ukraine	February 25, 2002 (age 21)	Active	2020 – 2022, 2023 – Present				Lazer Cats			$8,395	Global Offensive
Іван Семенець	Ivan Semenets	Ukraine	July  8, 1996 (age 27)	Active	2015 – Present			AWPer			F1L1N	$11,865	Global Offensive
Олексій Ярмощук	Aleksei Yarmoshchuk	Ukraine	August  3, 2001 (age 22)	Active	2020 – Present			Rifler			ALEX666	$12,543	Global Offensive
Денис Ляшенко	Denys Ljashenko	Ukraine	June 14, 2001 (age 22)	Active	2020 – Present			Rifler	B8			$11,021	Global Offensive
Андрій Олексійович Городенський	Andrij Oleksijovych Ghorodensjkyj	Ukraine	November 11, 1986 (age 36)	Active	2003 – 2018	2018 – Present		Coach	Natus Vincere		B1ad3_R	$87,750	Global Offensive
Валерій Євгенійович Ваховський	Valerij Jevghenijovych Vakhovsjkyj	Ukraine	January  5, 2003 (age 20)	Active	2019 – Present				Natus Vincere		B1T, B1t	$1,030,205	Global Offensive
Олег Кулинич	Oleg Kulynych	Ukraine	April 25, 2003 (age 20)	Active	2019 – Present			Rifler	Team Spirit Academy		baaaaZzz	$15,841	Global Offensive
Владислав Нечипорчук	Vlаdуslаv Nеchуроrchuk	Ukraine	July  2, 1993 (age 30)	Active	2009 – Present			lurker	ESC Gaming			$151,790	Global Offensive
Ярослав Буряк	Jaroslav Burjak	Ukraine	June  7, 1998 (age 25)	Active	2018 – Present			Rifler	IKLA UA			$19,704	Global Offensive
Павло Векленко	Pavlo Veklenko	Ukraine	April  8, 1992 (age 31)	Active	2014 – 2019, 2023 – Present						COLDY	$44,364	Global Offensive
Арсений Деревинский	Arsenyj Derevynskyj	Ukraine	July 24, 1999 (age 24)	Active	2018 – Present			Rifler	B8			$5,303	Global Offensive
Ігор Шевченко	Ighor Shevchenko	Ukraine	August 12, 1995 (age 28)	Active	2015 – 2021	2021 – Present		Coach	Natus Vincere Youth			$38,126	Global Offensive
Владислав Сидоров	Vladyslav Sydorov	Ukraine	May 28, 2003 (age 20)	Active	2020 – Present			Rifler	Montecarlo Gaming		DONEKO	$3,638	Global Offensive
Артур Кравченко	Artur Kravchenko	Ukraine	August 26, 1998 (age 25)	Active	2016 – 2021	2021 – Present		Coach				$2,376	Global Offensive
Дмитро Мирошниченко	Dmytro Myroshnychenko	Ukraine	October  2, 2007 (age 16)	Active	2021 – Present			Rifler	Natus Vincere Youth		Dem0N	$3,948	Global Offensive
Сергій Демченко	Serghij Demchenko	Ukraine	May 23, 2001 (age 22)	Active	2019 – Present			Rifler	Monte			$80,829	Global Offensive
Іоанн Сухарєв	Ioann Sukharjev	Ukraine	December 28, 1987 (age 35)	Active	2001 – 2021, 2022 – Present			Rifler	ESC Gaming		f0cusw0w~, Pistol King, Edzie /A/	$716,851	Global Offensive
Родион Смык	Rodyon Smyk	Ukraine	November 20, 2000 (age 22)	Active	2018 – Present			In-game leader	The Witchers		fear10	$14,819	Global Offensive
Ілля Головко	Illia Holovko	Ukraine	August 11, 1997 (age 26)	Active	2014 – Present			entry fragger				$15,581	Global Offensive
Станіслав Осташевський	Stanislav Ostashevsjkyj	Ukraine	March  9, 2000 (age 23)	Active	2018 – Present			Rifler				$12,972	Global Offensive
Адам Нагорний	Adam Nahornyi	Ukraine	June 21, 2008 (age 15)	Active	2021 – Present			Rifler	Natus Vincere Youth			$3,948	Global Offensive
Ілля Черниченко	Illja Chernychenko	Ukraine	August  2, 2001 (age 22)	Active	2019 – Present			AWPer	Betera			$19,509	Global Offensive
Вадим Танасюк	Vadym Tanasjuk	Ukraine	April 21, 2000 (age 23)	Active	2016 – Present			Rifler	Montecarlo Gaming		h1glain	$4,623	Global Offensive
Даниил Валітов	Danyyl Valitov	Ukraine	June 30, 2004 (age 19)	Active	2018 – Present				Ninjas in Pyjamas			$42,846	Global Offensive
Никита Рева	Nykyta Reva	Ukraine	September  8, 2000 (age 23)	Active	2020 – Present			In-game leader			hkta	$6,391	Global Offensive
Yaroslav Issakov		United Kingdom	November 17, 1999 (age 23)	Active	2018 – Present			AWPer				$3,586	Global Offensive
Євген Сергачев	Jevghen Serghachev	Ukraine	July 27, 2000 (age 23)	Active	2019 – Present			Rifler	L&amp;G			$27,493	Global Offensive
Дмитро Червак	Dmytro Chervak	Ukraine	October 22, 1993 (age 29)	Active	2014 – Present	2021 – Present		Rifler				$91,931	Global Offensive
Михайло Олексійович Благін	Mykhajlo Oleksijovych Blaghin	Ukraine	January  4, 1986 (age 37)	Active	2001 – 2009	2016 – Present		Coach	Passion UA			$12,235	Global Offensive
Іван Копленко	Ivan Koplenko	Ukraine		Active	2018 − Present			Rifler				$6,407	Global Offensive
Артем Капран	Artem Kapran	Ukraine	February  2, 2006 (age 17)	Active	2022 – Present			Rifler	IKLA UA			$4,477	Global Offensive
Леонард Валерійович Володарчук	Leonard Valerijovych Volodarchuk	Ukraine	May 13, 1997 (age 26)	Active	2016 – Present			Rifler				$12,326	Global Offensive
Богдан Кривда	Boghdan Kryvda	Ukraine	July 25, 2002 (age 21)	Active	2020 – Present			Rifler	L&amp;G			$6,455	Global Offensive
Владислав Король	Vladyslav Korolj	Ukraine	August 29, 2001 (age 22)	Active	2020 – Present			Rifler	IKLA			$16,970	Global Offensive
Владислав Дрыга	Vladislav Dryha	Ukraine	October 29, 2004 (age 18)	Active	2020 – Present			AWPer	Team Space		leri	$9,077	Global Offensive
Сергій Бежанов	Serhij Bezhanov	Ukraine	September 19, 1987 (age 36)	Active	2006 – 2010	2010 2015 – Present					LMBT	$8,236	Global Offensive
Данило Бакін	Danylo Bakin	Ukraine	April  2, 2001 (age 22)	Active	2018 – Present			Rifler				$9,965	Global Offensive
Дмитро Тедіашвілі	Dmytro Tediashvili	Ukraine	April  9, 2004 (age 19)	Active	2021 – Present			Rifler	Betera		NIIFEE3	$6,784	Global Offensive
Олег Волчков	Olegh Volchkov	Ukraine	May 24, 2001 (age 22)	Active	2015 – Present			Rifler			n0v3L	$1,351	Global Offensive
Андрій Кухарський	Andrij Kukharsjkyj	Ukraine	July 21, 2005 (age 18)	Active	2021 – Present			Rifler			npL, nipl	$45,496	Global Offensive
Михайло Лимар	Mykhajlo Lymar	Ukraine	January 14, 2003 (age 20)	Active	2020 – Present			In-game leader	B8		0WNER	$14,775	Global Offensive
Олександр Злобін	Oleksandr Zlobin	Ukraine	March 19, 1997 (age 26)	Active	2017 – 2022	2022 – Present		Coach				$19,050	Global Offensive
Артем Мороз	Artem Moroz	Ukraine	October 27, 2004 (age 18)	Active	2020 – Present			AWPer	B8			$6,672	Global Offensive
Дмитро Болотов	Dmytro Bolotov	Ukraine	July 27, 1997 (age 26)	Active	2016 – Present			AWPer			rage	$12,465	Global Offensive
Дмитрий Чумак	Dmytryj Chumak	Ukraine	January 12, 1993 (age 30)	Active	2018 – 2020	2020 – Present		Coach	L&amp;G			$420	Global Offensive
Олександр Олегович Костилєв	Oleksandr Oleghovych Kostyljev	Ukraine	October  2, 1997 (age 26)	Active	2013 – Present			AWPer	Natus Vincere	The Undertaker		$1,726,047	Global Offensive
Кирило Литвинов	Kyrylo Lytvynov	Ukraine	July 26, 2001 (age 22)	Active	2019 – Present			AWPer	IKLA UA		s4	$19,724	Global Offensive
Олександр Маринич	Oleksandr Marynych	Ukraine	November 25, 1997 (age 25)	Active	2016 – Present			Rifler				$10,712	Global Offensive
Віктор Оруджев	Viktor Orudzhev	Ukraine	March 14, 1997 (age 26)	Active	2016 – Present			In-game leader	Monte		somedieyoung	$316,527	Global Offensive
Дмитро Шворак	Dmytro Shvorak	Ukraine	October 31, 1998 (age 24)	Active	2017 – Present			AWPer				$38,111	Global Offensive
Сергій Атаманчук	Serghij Atamanchuk	Ukraine	August  8, 2000 (age 23)	Active	2018 – Present			entry fragger				$13,490	Global Offensive
Олександр Гордєєв	Oleksandr Ghordjejev	Ukraine	August 12, 1992 (age 31)	Active	2009 – 2021	2022 2023 – Present		Coach	ESC Gaming		Shara ;wf, sharskix	$26,058	Global Offensive
Олександр Нетреба	Oleksandr Netreba	Ukraine	June  4, 1982 (age 41)	Active		2019 – Present	2016 – 2019		sYnck		Shockw3ve, Sakura	$505	Global Offensive
Олександр Турчин	Oleksandr Turchyn	Ukraine	June 22, 2002 (age 21)	Active	2018 – Present			Rifler	ESC Gaming			$11,053	Global Offensive
Сергій Скляренко	Serhij Skljarenko	Ukraine	June  5, 1998 (age 25)	Active	2014 – Present			AWPer				$9,334	Global Offensive
Сергій Іщук	Serhij Ishchuk	Ukraine	December 14, 1987 (age 35)	Valve Banned	2001 – 2015, 2017 – 2020, 	2015 – 2017, 2020 – Present		Coach			IschukS	$126,655	Global Offensive
Даниил Мазур	Danyyl Mazur	Ukraine	August 12, 2004 (age 19)	Active	2020 – Present			Rifler			SynyX	$23,514	Global Offensive
Дмитро Сривков	Dmytro Sryvkov	Ukraine	October 28, 2000 (age 22)	Active	2018 – Present			Rifler			Templl	$6,495	Global Offensive
Максим Віталійович Семенов	Maksym Vitalijovych Semenov	Ukraine	October  5, 1995 (age 28)	Active	2014 – Present						THRN, THRONE2H	$4,668	Global Offensive
Олексій Топчієнко	Oleksij Topchijenko	Ukraine	October 28, 1999 (age 23)	Active	2017 – Present				IKLA			$6,523	Global Offensive
Марк Варакута	Mark Varakuta	Ukraine	June  7, 2006 (age 17)	Active	2021 – Present			Rifler	Natus Vincere Youth			$4,178	Global Offensive
Павло Білов	Pavlo Bilov	Ukraine	May  1, 1999 (age 24)	Active	2018 – Present			Rifler				$8,640	Global Offensive
Ігор Жданов	Ihor Zhdanov	Ukraine	December 14, 2004 (age 18)	Active	2020 – Present			AWPer	Sprout			$56,133	Global Offensive
Володимир Велетнюк	Volodymyr Veletnjuk	Ukraine	August  8, 2001 (age 22)	Active	2018 – Present				Monte			$97,876	Global Offensive
Роман Полтавченко	Roman Poltavchenko	Ukraine	July  4, 1993 (age 30)	Inactive	2012 – 2018							$3,017	Global Offensive
Myroslav Plakhotja		Ukraine	July 20, 2005 (age 18)	Active	2020 – Present			Rifler	Team Spirit			$47,982	Global Offensive
Сервер Керимов	Server Kerimov	Uzbekistan	July 31, 1993 (age 30)	Active	2007 – Present			AWPer	Storm Uzbekistan		cekkajan, cekka	$2,094	Global Offensive
Руслан Гизатов	Ruslan Gizatov	Uzbekistan	October  4, 1998 (age 25)	Active	2017 – Present			In-game leader	TRAFFIC Tashkent Team			$4,485	Global Offensive
Даниэль Ли	Daniel Lee	Uzbekistan	May 22, 2003 (age 20)	Active	2021 – Present			Rifler	TRAFFIC Tashkent Team		icyvl0ne, soicy, Leegolas	$3,746	Global Offensive
Абдукадыров Ибрагим	Abdukadirov Ibrakhim	Uzbekistan	April 18, 1998 (age 25)	Active	2021 – Present			Rifler	TRAFFIC Tashkent Team		KANSHINE	$2,998	Global Offensive
Санжар Кулиев	Sanjar Kuliev	Uzbekistan	November 18, 1998 (age 24)	Active	2015 – 2023	2023 – Present		Coach			x3trov, lozh, deadR, sanji666	$325,260	Global Offensive
Амирбек Тимуров	Amirbek Timurov	Uzbekistan	April 19, 2004 (age 19)	Active	2021 – Present			AWPer	TRAFFIC Tashkent Team			$3,566	Global Offensive
Gabriel Hernan Sinópoli		Argentina	November 19, 1995 (age 27)	Active	2016 – Present			entry fragger	LRV Esports	Gabi, Numeritos	1962twm, 1962xD	$24,317	Global Offensive
